Destination;Article;NumSerie;Quantite
PUP VOLVO FRANCE;22825600;640084799;3
PUP VOLVO FRANCE;22825600;640084800;3
PUP VOLVO FRANCE;22825600;640084801;3
PUP VOLVO FRANCE;22825600;640084802;3
PUP VOLVO FRANCE;22825600;640084803;3
PUP VOLVO FRANCE;22020874;640084804;3
PUP VOLVO FRANCE;22020874;640084805;3
PUP VOLVO FRANCE;22020874;640084806;3
PUP VOLVO FRANCE;22020874;640084807;3
PUP VOLVO FRANCE;22020874;640084808;3
PUP VOLVO FRANCE;22020874;640084809;3
PUP VOLVO FRANCE;22020874;640084810;3
PUP VOLVO FRANCE;22020874;640084811;3
PUP VOLVO FRANCE;22020874;640084812;3
PUP VOLVO FRANCE;22020874;640084813;3
PUP VOLVO FRANCE;22020874;640084814;3
PUP VOLVO FRANCE;22020874;640084815;3
PUP VOLVO FRANCE;22020874;640084816;3
PUP VOLVO FRANCE;22634696;640084817;6
PUP VOLVO FRANCE;22216200;640084818;120
PUP VOLVO FRANCE;22216200;640084819;120
PUP VOLVO FRANCE;22409829;640084820;24
PUP VOLVO FRANCE;23013188;640084821;20
PUP VOLVO FRANCE;22006640;640084822;10
PUP VOLVO FRANCE;22588679;640084823;15
PUP VOLVO FRANCE;22006638;640084824;6
PUP VOLVO FRANCE;22634696;640084792;2
PUP VOLVO FRANCE;22634696;640084793;2
PUP VOLVO FRANCE;23244043;640084796;24
